Item ID,Title,Clicks,Orders,Revenue,Cost,ROAS,Recommended_Bucket,Reason
shopify_mx_8050611323104_47477883207904,PANTALON TACTICO 5.11 - MERIDIAN PANT New DCU / 32 / 32,3,0,0.0,14.23,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8050611781856_45757785768160,SHORT DEPORTIVO 5.11 - PT-R HAVOC SHORT Shadow Green / Large,2,0,531.8,14.23,37.37,Zombies,insufficient_data_<30_clicks
shopify_mx_8860290908384_47201504264416,Botas Tácticas 5.11 A/T Elite GORE-TEX Mid - Comodidad y Durabilidad Black / 5 MX,13,0,0.0,14.21,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8857622872288_47546054148320,Tenis 5.11 PT-R Inure Runner | Alto Rendimiento para Cardio Kangaroo / 5 MX,8,0,0.0,14.17,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8272360472800_47059953385696,PANTALON TACTICO 5.11 - APEX PANT PARA MUJER Storm / 10,6,0,0.0,14.17,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8050611323104_44027701887200,PANTALON TACTICO 5.11 - MERIDIAN PANT Volcanic / 34 / 30,4,0,1005.79,14.12,71.23,Zombies,insufficient_data_<30_clicks
shopify_mx_8864615039200_47229576741088,"Bota 5.11 Caliber 6 | Confort, durabilidad y soporte Tan / 6 MX",5,0,0.0,14.09,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8971535417568_47786141712608,PLAYERA DEPORTIVA 5.11 - NO MERCY PT-R Ranger Green 2 / Medium,2,0,0.0,14.01,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_7919752216800_43624547123424,PARCHE TACTICO 5.11 - MULTITRON,1,0,0.0,13.97,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8990058152160_47785911222496,BOTAS TÁCTICAS 5.11 - A/T LOW 2.0 DK US Coyote / 5 MX,11,0,0.0,13.94,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_6800174343_45745296834784,PANTALON TACTICO 5.11 - APEX PANTS Dark Navy / 38 / 30,6,0,0.0,13.93,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_7819831967968_43331331653856,PANTALON TACTICO 5.11 - MOTOR CYCLE BREECHES Black / 34,8,0,0.0,13.9,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8769680310496_47009806975200,CHAMARRA TACTICA 5.11 - HQ TECH FLEECE Field Green / S,2,0,0.0,13.89,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_1500359589940_13817329418292,PANTALON TACTICO 5.11 - EDGE CHINO PANT Dark Navy / 42 / 32,6,0,0.0,13.82,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8905311650016_47691681923296,Polo táctica 5.11 Archer Crest Black / L,12,0,0.0,13.79,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8950544662752_47633619452128,CAMISA 5.11 - IGOR MANGA LARGA Coyote / XL,5,0,0.0,13.76,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_6800174343_48069432836320,PANTALON TACTICO 5.11 - APEX PANTS Storm / 32 / 30,5,0,0.0,13.75,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8905311650016_47482721992928,Polo táctica 5.11 Archer Crest Storm / M,7,0,0.0,13.74,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_3709626187828_47882538451168,PANTALON TACTICO 5.11 - STRYKE PANTS W/FLEX-TAC TM Burnt / 34 / 32,13,0,0.0,13.7,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8823474389216_46989404537056,Playera 5.11 Trust in Training Ranger Green 2 / S,13,0,0.0,13.69,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8050611323104_44027702673632,PANTALON TACTICO 5.11 - MERIDIAN PANT Sage Green / 38 / 32,7,0,0.0,13.69,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8272353034464_44876398723296,LLAVERO 5.11 - OVERLANDER,6,0,0.0,13.63,0.0,Zombies,insufficient_data_<30_clicks
